Date,No of registered cases,No. of recoveries,No. of Deaths,Total Cases,Total Recoveries,Total Deaths,No. of Active Cases,New Cases in a single day,Recovery Rate (%),Fatality Rate (%)
05-12-20,3,0,0,3,0,0,3,3,0,0
05/13/2020,1,0,0,4,0,0,4,1,0,0
05/14/2020,0,0,0,4,0,0,4,0,0,0
05/15/2020,1,0,0,5,0,0,5,1,0,0
05/16/2020,0,0,0,5,0,0,5,0,0,0
05/17/2020,3,0,0,8,0,0,8,3,0,0
05/18/2020,2,0,0,10,0,0,10,2,0,0
05/19/2020,3,0,0,13,0,0,13,3,0,0
05/20/2020,3,0,0,16,0,0,16,3,0,0
05/21/2020,0,0,0,16,0,0,16,0,0,0
05/22/2020,0,3,0,16,3,0,13,-3,18.75,0
05/23/2020,4,0,0,20,3,0,17,4,15,0
05/24/2020,13,0,0,33,3,0,30,13,9.090909091,0
05/25/2020,13,0,0,46,3,0,43,13,6.52173913,0
05/26/2020,1,4,0,47,7,0,40,-3,14.89361702,0
05/27/2020,0,0,0,47,7,0,40,0,14.89361702,0
05/28/2020,46,3,0,93,10,0,83,43,10.75268817,0
05/29/2020,23,0,0,116,10,0,106,23,8.620689655,0
05/30/2020,38,18,0,154,28,0,126,20,18.18181818,0
05/31/2020,0,1,0,154,29,0,125,-1,18.83116883,0
06-01-20,5,0,0,159,29,0,130,5,18.23899371,0
06-02-20,7,1,0,166,30,0,136,6,18.07228916,0
06-03-20,0,118,0,166,148,0,18,-118,89.15662651,0
06-04-20,7,3,0,173,151,0,22,4,87.28323699,0
06-05-20,29,2,0,202,153,0,49,27,75.74257426,0
06-06-20,2,0,0,204,153,0,51,2,75,0
06-07-20,3,3,0,207,156,0,51,0,75.36231884,0
06-08-20,0,0,0,207,156,0,51,0,75.36231884,0
06-09-20,0,0,0,207,156,0,51,0,75.36231884,0
06-10-20,2,41,0,209,197,0,12,-39,94.25837321,0
06-11-20,5,0,0,214,197,0,17,5,92.05607477,0
06-12-20,0,1,0,214,198,0,16,-1,92.52336449,0
06/13/2020,1,0,0,215,198,0,17,1,92.09302326,0
06/14/2020,4,0,0,219,198,0,21,4,90.4109589,0
06/15/2020,8,2,0,227,200,0,27,6,88.10572687,0
06/16/2020,1,1,0,228,201,0,27,0,88.15789474,0
06/17/2020,0,3,0,228,204,0,24,-3,89.47368421,0
06/18/2020,0,0,0,228,204,0,24,0,89.47368421,0
06/19/2020,1,0,0,229,204,0,25,1,89.08296943,0
06/20/2020,3,4,0,232,208,0,24,-1,89.65517241,0
06/21/2020,3,0,0,235,208,0,27,3,88.5106383,0
06/22/2020,6,4,0,241,212,0,29,2,87.96680498,0
06/23/2020,13,1,0,254,213,0,41,12,83.85826772,0
06/24/2020,4,2,0,258,215,0,43,2,83.33333333,0
06/25/2020,16,4,1,274,219,1,54,11,79.9270073,0.3649635036
06/26/2020,5,7,0,279,226,1,52,-2,81.00358423,0.3584229391
06/27/2020,0,0,0,279,226,1,52,0,81.00358423,0.3584229391
06/28/2020,8,0,0,287,226,1,60,8,78.7456446,0.3484320557
06/29/2020,4,0,0,291,226,1,64,4,77.66323024,0.3436426117
06/30/2020,9,4,0,300,230,1,69,5,76.66666667,0.3333333333
07-01-20,4,7,0,304,237,1,66,-3,77.96052632,0.3289473684
07-02-20,8,11,0,312,248,1,63,-3,79.48717949,0.3205128205
07-03-20,2,7,0,314,255,1,58,-5,81.21019108,0.3184713376
07-04-20,4,16,0,318,271,1,46,-12,85.22012579,0.3144654088
07-05-20,19,5,0,337,276,1,60,14,81.89910979,0.296735905
07-06-20,9,0,0,346,276,1,69,9,79.76878613,0.289017341
07-07-20,1,7,0,347,283,1,63,-6,81.55619597,0.288184438
07-08-20,3,13,0,350,296,1,53,-10,84.57142857,0.2857142857
07-09-20,0,0,0,350,296,1,53,0,84.57142857,0.2857142857
07-10-20,14,3,0,364,299,1,64,11,82.14285714,0.2747252747
07-11-20,18,8,0,382,307,1,74,10,80.36649215,0.2617801047
07-12-20,54,2,0,436,309,1,126,52,70.87155963,0.2293577982
07/13/2020,14,21,0,450,330,1,119,-7,73.33333333,0.2222222222
07/14/2020,16,0,0,466,330,1,135,16,70.81545064,0.2145922747
07/15/2020,16,8,0,482,338,1,143,8,70.12448133,0.2074688797
07/16/2020,13,1,0,495,339,1,155,12,68.48484848,0.202020202
07/17/2020,29,2,0,524,341,1,182,27,65.07633588,0.1908396947
07/18/2020,36,9,0,560,350,1,209,27,62.5,0.1785714286
07/19/2020,35,1,0,595,351,1,243,34,58.99159664,0.1680672269
07/20/2020,44,66,0,639,417,1,221,-22,65.25821596,0.1564945227
07/21/2020,67,12,0,706,429,1,276,55,60.76487252,0.1416430595
07/22/2020,36,15,1,742,444,2,296,20,59.83827493,0.269541779
07/23/2020,55,16,0,797,460,2,335,39,57.71643664,0.2509410289
07/24/2020,30,14,1,827,474,3,350,15,57.31559855,0.3627569528
07/25/2020,13,24,2,840,498,5,337,-13,59.28571429,0.5952380952
07/26/2020,23,35,1,863,533,6,324,-13,61.7612978,0.6952491309
07/27/2020,78,58,0,941,591,6,344,20,62.80552604,0.6376195537
07/28/2020,110,64,0,1051,655,6,390,46,62.32159848,0.5708848716
07/29/2020,53,41,0,1104,696,6,402,12,63.04347826,0.5434782609
07/30/2020,41,53,1,1145,749,7,389,-13,65.41484716,0.6113537118
07/31/2020,12,31,0,1157,780,7,370,-19,67.41573034,0.6050129646
08/01/2020,11,11,2,1168,791,9,368,-2,67.72260274,0.7705479452
08/02/2020,10,26,0,1178,817,9,352,-16,69.35483871,0.7640067912
08/03/2020,58,76,1,1236,893,10,333,-19,72.24919094,0.8090614887
08/04/2020,7,104,0,1243,997,10,236,-97,80.20917136,0.8045052293
08/05/2020,14,40,1,1257,1037,11,209,-27,82.49801114,0.8750994431
08/06/2020,20,49,2,1277,1086,13,178,-31,85.04306969,1.018010963
08/07/2020,38,15,0,1315,1101,13,201,23,83.72623574,0.9885931559
08/08/2020,5,6,0,1320,1107,13,200,-1,83.86363636,0.9848484848
08/09/2020,36,15,0,1356,1122,13,221,21,82.74336283,0.9587020649
08/10/2020,40,10,0,1396,1132,13,251,30,81.08882521,0.9312320917
08/11/2020,30,45,0,1426,1177,13,236,-15,82.53856942,0.9116409537
08/12/2020,41,8,0,1467,1185,13,269,33,80.77709611,0.8861622359
08/13/2020,18,14,1,1485,1199,14,272,3,80.74074074,0.9427609428
08/14/2020,52,21,0,1537,1220,14,303,31,79.37540664,0.9108653221
08/15/2020,24,49,1,1561,1269,15,277,-26,81.29404228,0.9609224856
08/16/2020,128,6,0,1689,1275,15,399,122,75.48845471,0.8880994671
08/17/2020,48,32,0,1737,1307,15,415,16,75.24467473,0.8635578584
08/18/2020,87,45,0,1824,1352,15,457,42,74.12280702,0.8223684211
08/19/2020,26,22,0,1850,1374,15,461,4,74.27027027,0.8108108108
08/20/2020,48,43,0,1898,1417,15,466,5,74.65753425,0.7903055848
08/21/2020,31,28,0,1929,1445,15,469,3,74.90927942,0.7776049767
08/22/2020,52,50,1,1981,1495,16,470,1,75.46693589,0.8076728925
08/23/2020,30,111,2,2011,1606,18,387,-83,79.86076579,0.8950770761
08/24/2020,29,55,0,2040,1661,18,361,-26,81.42156863,0.8823529412
08/25/2020,46,95,2,2086,1756,20,310,-51,84.18024928,0.9587727709
08/26/2020,30,19,0,2116,1775,20,321,11,83.88468809,0.9451795841
08/27/2020,23,23,0,2139,1798,20,321,0,84.05797101,0.9350163628
08/28/2020,37,44,0,2176,1842,20,314,-7,84.65073529,0.9191176471
08/29/2020,30,55,0,2206,1897,20,289,-25,85.99274705,0.9066183137
08/30/2020,48,45,0,2254,1942,20,292,3,86.15794144,0.8873114463
08/31/2020,28,18,0,2282,1960,20,302,10,85.88957055,0.8764241893
09/01/2020,22,75,1,2304,2035,21,248,-54,88.32465278,0.9114583333
09/02/2020,40,35,0,2344,2070,21,253,5,88.3105802,0.8959044369
09/03/2020,19,26,0,2363,2096,21,246,-7,88.70080406,0.8887008041
09/04/2020,50,37,1,2413,2133,22,258,12,88.39618732,0.9117281392
09/05/2020,45,32,0,2458,2165,22,271,13,88.07973963,0.8950366151
09/06/2020,16,54,0,2474,2219,22,233,-38,89.69280517,0.8892481811
09/07/2020,23,30,1,2497,2249,23,225,-8,90.0680817,0.9211053264
09/08/2020,78,38,0,2575,2287,23,265,40,88.81553398,0.8932038835
09/09/2020,68,34,0,2643,2321,23,299,34,87.81687476,0.8702232312
09/10/2020,54,5,2,2697,2326,25,346,47,86.24397479,0.9269558769
09/11/2020,41,51,2,2738,2377,27,334,-12,86.81519357,0.9861212564
09/12/2020,35,48,0,2773,2425,27,321,-13,87.45041471,0.9736747205
09/13/2020,39,15,0,2812,2440,27,345,24,86.77098151,0.960170697
09/14/2020,40,16,0,2852,2456,27,369,24,86.11500701,0.9467040673
